flightno,from,to,departure,arrival,airline_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday
DJ4458,4077,2218,08:28:00,09:55:00,24,0,0,1,1,0,1,1
DJ4637,7245,5691,11:40:00,12:16:00,24,1,0,1,1,1,0,1
DJ4650,1848,9354,11:14:00,00:28:00,24,0,1,0,0,1,1,1
DJ5086,9957,6831,18:38:00,06:06:00,24,0,0,0,0,0,1,0
DJ5146,11370,11197,19:03:00,14:34:00,24,1,1,0,1,0,1,1
DJ5152,13035,6847,14:34:00,00:18:00,24,1,0,0,0,0,0,1
DJ5252,5513,1208,06:16:00,09:30:00,24,0,0,1,0,0,1,1
DJ5399,12911,11850,12:40:00,02:17:00,24,0,0,1,1,0,1,0
DJ5474,838,7901,03:42:00,14:21:00,24,0,1,0,0,0,1,0
DJ5523,5925,6762,19:37:00,13:27:00,24,0,0,0,0,0,1,0
DJ5566,7490,7355,17:25:00,07:56:00,24,0,0,0,1,0,1,1
DJ5687,1320,5276,00:24:00,03:38:00,24,0,0,0,1,0,1,0
DJ5857,1429,3136,13:56:00,00:31:00,24,0,0,1,1,0,0,1
DJ5918,531,4030,23:43:00,16:23:00,24,1,0,0,1,0,1,1
DJ6219,4669,11624,16:25:00,03:41:00,24,1,1,1,1,1,0,0
DJ6227,3298,2685,13:45:00,01:28:00,24,0,1,1,0,1,1,1
DJ6563,789,495,03:09:00,21:34:00,24,1,0,0,1,0,0,0
DJ6720,9296,12271,05:10:00,00:36:00,24,1,0,1,0,1,1,0
DJ6954,9841,815,03:37:00,11:42:00,24,0,1,0,0,0,0,0
DJ7010,5111,8159,12:20:00,03:23:00,24,1,1,1,0,1,0,0
DJ7108,1649,9536,17:08:00,03:40:00,24,1,1,0,0,1,0,1
DJ7209,3627,4776,13:25:00,01:09:00,24,0,1,0,0,0,0,1
DJ7540,11456,11361,13:19:00,23:18:00,24,0,0,1,1,0,0,1
DJ7879,6417,10586,10:49:00,19:52:00,24,0,0,1,1,0,0,1
DJ7971,6742,59,04:22:00,08:14:00,24,1,1,1,1,0,0,0
DJ7987,10023,8409,21:48:00,11:12:00,24,1,0,1,1,0,1,1
DJ8160,311,13136,00:40:00,02:43:00,24,1,1,1,1,0,0,1
DJ8257,8484,11906,13:50:00,18:58:00,24,1,0,0,0,1,1,1
DJ8393,5811,4942,01:27:00,21:31:00,24,0,0,0,1,0,0,1
DJ8420,11205,11564,12:19:00,20:14:00,24,0,1,1,0,0,0,1
DJ8746,6744,382,14:52:00,04:44:00,24,1,0,0,0,0,0,1
DJ8817,1927,10166,14:19:00,05:51:00,24,1,0,0,0,1,1,1
DJ8904,2814,5429,13:17:00,10:34:00,24,0,0,0,1,0,0,0
DJ8947,11619,3424,12:02:00,22:22:00,24,1,0,0,1,0,1,0
DJ8984,12942,3284,08:40:00,13:00:00,24,0,0,1,0,1,0,1
DJ9171,10930,2658,17:49:00,20:21:00,24,0,0,0,1,0,0,0
DJ9424,9407,11286,18:27:00,23:36:00,24,0,1,0,0,0,0,0
DJ9528,2551,6835,20:52:00,22:11:00,24,1,0,0,0,1,0,0
DJ9750,1778,6258,18:22:00,14:12:00,24,0,0,1,0,1,0,0
DJ9776,5377,8291,06:31:00,16:53:00,24,1,1,0,0,1,1,0
DO1006,7196,8077,15:30:00,02:07:00,25,0,1,0,0,0,1,0
DO1175,6522,5293,11:24:00,19:58:00,25,0,1,1,1,1,0,0
DO1219,8759,4501,01:10:00,08:06:00,25,0,1,0,1,0,1,0
DO1354,10065,9503,20:23:00,11:47:00,25,0,0,1,1,1,0,0
DO1434,8567,11697,02:47:00,08:55:00,25,0,1,1,0,1,1,0
DO1505,1289,334,02:33:00,15:05:00,25,1,0,0,0,0,1,0
DO1520,2867,4578,03:36:00,04:04:00,25,0,0,0,0,0,1,1
DO1542,5245,2014,06:38:00,17:10:00,25,1,0,0,0,0,0,1
DO1614,5029,4339,10:47:00,22:04:00,25,0,1,0,1,1,1,1
DO1631,4446,1175,09:16:00,16:58:00,25,0,1,0,0,0,1,1
DO1811,495,8564,15:18:00,22:20:00,25,0,0,1,0,0,0,1
DO1814,12942,13180,09:52:00,20:31:00,25,1,1,1,1,0,1,0
DO1869,2276,1206,13:29:00,16:17:00,25,0,0,0,0,0,1,0
DO1920,3969,9137,11:07:00,15:52:00,25,0,0,0,0,1,1,0
DO2328,4076,9808,08:12:00,11:59:00,25,0,0,0,0,1,1,0
DO2376,11230,7500,02:48:00,23:10:00,25,0,0,0,1,0,0,1
DO2555,3513,12903,13:35:00,02:31:00,25,1,1,1,1,1,1,1
DO2594,5146,13396,01:34:00,11:37:00,25,1,0,1,1,0,1,1
DO3169,2715,8319,07:16:00,14:23:00,25,1,0,0,0,1,0,0
DO3300,6993,5553,01:27:00,19:34:00,25,1,0,1,0,1,1,0
DO3564,3243,1690,15:03:00,04:37:00,25,1,0,0,0,1,1,0
DO3636,11895,5903,15:10:00,18:42:00,25,1,1,1,1,0,1,1
DO3710,4215,8056,03:53:00,06:36:00,25,1,1,0,0,0,0,0
DO3851,12001,12750,03:15:00,05:51:00,25,1,1,1,1,1,0,1
DO3871,7109,7883,05:09:00,13:11:00,25,0,0,0,1,0,1,0
DO4016,3497,8707,15:08:00,04:42:00,25,0,1,0,1,0,1,1
DO4163,10582,8312,23:11:00,12:44:00,25,1,1,1,0,0,1,0
DO4220,13009,3975,18:37:00,00:43:00,25,0,0,1,0,1,1,0
DO4346,8054,9396,05:06:00,06:36:00,25,1,0,0,0,0,1,1
DO4369,3294,6868,09:19:00,18:42:00,25,1,1,1,1,0,0,1
DO4613,5088,5723,04:28:00,10:06:00,25,1,1,0,0,1,0,0
DO4689,478,740,16:26:00,07:13:00,25,0,1,1,0,0,0,0
DO4909,9770,5478,04:17:00,01:28:00,25,0,1,1,0,0,1,0
DO4964,8426,6646,22:01:00,07:11:00,25,1,0,1,1,0,0,1
DO4992,4801,7327,12:20:00,01:14:00,25,1,1,0,0,0,0,1
DO5079,10984,858,04:43:00,19:27:00,25,0,0,0,0,1,1,1
DO5265,4436,6906,23:44:00,10:32:00,25,0,0,0,1,1,1,0
DO5574,8591,9996,23:10:00,09:25:00,25,0,0,1,0,0,0,0
DO5755,12067,6818,11:23:00,04:40:00,25,0,0,1,1,0,0,1
DO5808,2476,12031,14:39:00,03:47:00,25,1,1,0,1,1,1,0
DO5903,8707,56,07:53:00,18:43:00,25,0,0,0,1,0,1,1
DO5907,9810,12784,21:36:00,23:25:00,25,0,0,0,0,0,0,1
DO6019,575,9611,05:23:00,06:57:00,25,0,1,0,1,1,0,0
DO6022,9789,2363,16:54:00,05:20:00,25,0,1,1,0,1,0,1
DO6033,3151,8824,18:48:00,06:38:00,25,1,1,0,1,0,0,0
DO6420,12133,12585,06:15:00,15:44:00,25,1,0,0,0,0,1,1
DO6430,10,5981,23:35:00,06:43:00,25,0,0,0,1,1,0,0
DO6512,9437,2586,17:50:00,01:43:00,25,1,1,1,0,0,0,0
DO6559,9821,6899,17:28:00,09:41:00,25,1,0,1,0,1,1,0
DO6652,8012,8365,12:25:00,23:57:00,25,1,1,1,1,0,1,1
DO6757,10342,7516,19:02:00,07:56:00,25,1,1,0,0,1,0,1
DO7105,101,2767,05:23:00,09:36:00,25,1,1,1,0,1,0,0
DO7243,12614,1576,07:42:00,21:40:00,25,1,0,1,1,1,1,1
DO7333,773,5232,08:46:00,21:34:00,25,0,0,1,0,1,1,0
DO7529,9037,7699,23:33:00,14:48:00,25,1,0,1,0,0,1,0
DO7604,11271,177,08:11:00,13:07:00,25,1,1,1,0,0,1,0
DO7662,7873,8021,15:27:00,06:23:00,25,0,1,0,0,1,0,1
DO7839,12172,8341,19:03:00,20:45:00,25,1,0,0,0,1,0,0
DO8070,7656,4420,07:46:00,22:06:00,25,1,0,0,1,0,0,0
DO8197,7037,10289,03:11:00,17:18:00,25,0,1,0,1,1,1,0
DO8420,9601,2901,07:55:00,21:12:00,25,1,1,0,1,0,1,0
DO8568,5926,3642,10:31:00,18:26:00,25,0,0,1,0,1,0,1
DO8623,7725,10632,03:50:00,22:31:00,25,0,0,0,0,1,1,1
DO8718,6041,9412,22:11:00,11:15:00,25,0,1,0,0,0,0,0
DO8754,2075,1904,02:03:00,06:29:00,25,0,1,0,1,1,1,0
DO9042,3745,2880,09:44:00,14:12:00,25,0,1,0,0,1,1,0
DO9103,10149,11924,00:06:00,08:11:00,25,1,1,1,1,0,1,0
DO9259,1218,11892,10:24:00,03:32:00,25,0,1,1,1,1,1,0
DO9797,3734,10087,07:39:00,09:16:00,25,1,1,1,0,0,1,1
DO9995,12749,12145,01:33:00,12:22:00,25,0,1,1,0,1,1,0
EC1093,2476,2611,00:00:00,18:47:00,26,0,1,1,1,1,0,0
EC1161,11786,7051,09:13:00,17:31:00,26,0,0,1,1,0,0,0
EC1231,12886,8665,03:12:00,04:01:00,26,1,1,0,1,0,1,0
EC1269,6207,7225,21:15:00,14:20:00,26,0,1,0,0,0,1,1
EC1408,13123,8152,16:35:00,05:37:00,26,1,0,0,1,0,0,0
EC1482,1179,8763,16:55:00,09:14:00,26,1,0,1,1,0,1,1
EC1614,12648,12713,12:36:00,06:16:00,26,1,0,1,1,0,1,1
EC1716,8368,3567,21:05:00,18:42:00,26,0,0,0,0,1,0,1
EC1725,13547,8661,21:12:00,09:02:00,26,1,0,0,1,1,1,1
EC1811,6818,9923,15:28:00,11:35:00,26,1,0,0,1,1,1,1
EC1940,676,7234,02:27:00,03:04:00,26,1,0,1,1,1,0,1
EC1974,10401,10008,10:27:00,05:14:00,26,1,1,0,0,1,1,1
EC2071,6737,8403,15:32:00,06:32:00,26,0,1,0,0,1,1,0
EC2148,1831,1552,17:08:00,05:30:00,26,1,0,1,0,1,0,0
EC2419,5255,3166,17:25:00,04:25:00,26,1,0,0,1,0,0,0
EC2432,4875,3248,02:27:00,06:00:00,26,1,1,0,0,0,1,1
EC2472,6227,7313,12:24:00,18:29:00,26,1,1,1,1,0,0,0
EC2607,13145,9339,01:12:00,10:16:00,26,1,1,1,1,0,1,1
EC2661,9468,10696,01:34:00,07:29:00,26,1,0,1,0,0,0,0
EC2738,2371,4755,20:55:00,11:20:00,26,0,1,1,1,1,1,0
EC2771,10400,7260,05:19:00,15:53:00,26,0,1,1,1,1,0,0
EC2899,7086,12317,12:32:00,18:08:00,26,0,1,0,1,1,1,1
EC3298,3946,7695,00:12:00,14:56:00,26,0,1,1,1,1,0,0
EC3362,3118,4768,09:03:00,04:16:00,26,0,0,0,0,0,1,0
EC3397,9835,4412,02:06:00,14:42:00,26,0,1,1,1,1,0,0
EC3551,11949,7255,03:57:00,01:12:00,26,0,1,1,1,0,0,0
EC3700,8724,4697,12:07:00,23:14:00,26,1,1,0,1,0,0,1
EC3870,7437,3620,10:11:00,15:04:00,26,0,0,0,0,1,0,0
EC3877,3215,5742,14:06:00,00:22:00,26,1,1,0,1,0,0,1
EC4017,12723,2664,11:38:00,19:10:00,26,0,0,1,1,1,1,1
EC4260,7549,10269,10:29:00,19:52:00,26,0,1,0,1,1,0,1
EC4321,10900,11124,10:33:00,17:53:00,26,0,0,0,1,1,0,0
EC4416,8187,6834,04:18:00,15:41:00,26,0,1,1,0,0,1,0
EC4451,3211,2092,21:34:00,14:08:00,26,0,1,0,0,1,0,0
EC4655,8533,11698,01:47:00,08:49:00,26,1,0,0,1,0,0,1
EC4771,7494,11016,05:30:00,01:17:00,26,1,1,1,0,1,1,1
EC4977,1230,10243,22:41:00,17:27:00,26,0,1,0,1,0,0,1
EC5077,8583,7305,15:17:00,16:28:00,26,0,0,0,1,1,0,0
EC5244,8759,6856,12:35:00,20:51:00,26,1,1,1,0,1,0,0
EC5620,5015,1723,05:25:00,12:25:00,26,1,1,0,1,0,0,0
EC5799,3314,11073,15:22:00,18:45:00,26,0,1,1,0,1,1,0
EC5849,7242,6078,10:21:00,16:53:00,26,1,0,0,1,1,0,1
EC5890,10390,4754,13:08:00,18:09:00,26,1,0,0,1,1,0,0
EC6023,4301,10008,20:25:00,04:22:00,26,1,1,0,0,1,1,0
EC6047,7098,4414,22:42:00,23:15:00,26,0,0,1,1,0,0,1
EC6205,4546,7992,20:09:00,23:02:00,26,1,1,0,0,0,1,0
EC6434,4865,9282,22:15:00,14:40:00,26,0,1,0,1,1,0,1
EC6478,7841,10386,08:39:00,00:47:00,26,1,0,0,1,1,0,1
EC6562,5961,2723,06:51:00,16:20:00,26,0,1,0,0,1,0,1
EC6692,976,10639,07:03:00,17:39:00,26,0,1,0,1,1,1,1
EC6795,678,4727,04:07:00,16:08:00,26,1,0,1,1,1,1,1
EC6934,10548,12721,08:11:00,18:14:00,26,0,0,1,1,1,1,0
EC6984,13501,6362,22:34:00,05:34:00,26,0,0,0,1,0,0,0
EC7005,9852,12788,09:12:00,23:42:00,26,0,0,0,1,1,1,0
EC7030,11018,2912,13:22:00,22:30:00,26,1,0,0,0,0,0,0
EC7077,7721,10321,12:54:00,21:04:00,26,1,0,0,1,1,0,1
EC7181,13111,12757,23:42:00,00:40:00,26,0,0,1,0,1,1,0
EC7353,7884,8845,16:27:00,09:03:00,26,1,1,0,0,1,1,0
EC7558,9150,10714,16:17:00,03:21:00,26,0,0,0,1,0,1,1
EC7594,8408,2124,06:23:00,09:00:00,26,0,1,0,0,0,1,1
EC7626,5649,6989,07:03:00,19:18:00,26,0,0,0,0,1,1,0
EC7716,4963,7696,17:04:00,19:17:00,26,1,0,1,0,1,0,1
EC7911,9253,9039,03:04:00,16:20:00,26,1,1,0,0,1,1,0
EC8237,8860,5995,00:09:00,02:31:00,26,1,0,1,0,1,0,1
EC8329,1894,4240,10:41:00,22:48:00,26,1,0,1,1,0,1,0
EC8391,757,2611,02:13:00,11:56:00,26,0,0,1,1,1,0,0
EC8444,12110,284,18:12:00,08:38:00,26,1,1,1,1,1,1,0
EC8546,4733,11944,06:30:00,18:58:00,26,1,1,0,0,1,1,1
EC8558,8338,4839,13:42:00,22:41:00,26,0,1,0,1,0,1,0
EC8749,11929,2117,03:35:00,16:20:00,26,0,1,0,0,1,0,1
EC9135,13080,12759,22:10:00,08:38:00,26,1,1,0,0,1,1,1
EC9221,13070,7310,11:48:00,08:07:00,26,0,1,1,0,1,0,1
EC9320,5364,6997,03:25:00,21:06:00,26,1,0,0,1,1,0,0
EC9357,9131,257,18:22:00,12:29:00,26,1,1,1,0,0,0,0
EC9462,6045,4630,09:44:00,10:41:00,26,1,0,1,0,0,0,0
EC9647,10331,5557,14:03:00,01:02:00,26,1,0,0,1,1,1,1
EC9798,12591,2007,05:21:00,20:04:00,26,1,0,0,0,0,1,0
EC9818,8665,5729,15:59:00,03:39:00,26,1,1,0,1,0,0,1
EC9875,10567,6985,08:01:00,08:23:00,26,1,1,1,0,0,1,1
EC9884,466,791,01:10:00,11:31:00,26,0,1,1,0,0,1,0
EC9921,10264,10109,03:11:00,07:33:00,26,0,0,1,0,0,0,1
EC9938,9552,10045,11:42:00,23:58:00,26,0,0,0,1,1,1,1
EG1027,13147,12879,22:05:00,11:42:00,27,1,0,0,1,1,0,1
EG1102,9615,8082,23:52:00,13:41:00,27,1,1,1,1,1,1,1
EG1151,808,10345,19:09:00,06:54:00,27,1,1,1,0,0,0,0
EG1171,7687,8547,06:14:00,15:12:00,27,0,1,0,1,1,0,0
EG1175,405,2366,18:35:00,08:11:00,27,1,1,0,1,0,0,0
EG1200,10086,5378,02:16:00,21:14:00,27,1,1,1,0,0,0,1
EG1214,649,3348,20:37:00,14:18:00,27,0,1,0,0,1,1,0
EG1225,3409,1289,03:24:00,03:43:00,27,1,0,0,1,1,1,0
EG1255,7225,5430,14:53:00,16:40:00,27,0,1,1,0,0,0,1
EG1284,939,7379,10:16:00,10:52:00,27,1,1,1,0,0,0,0
EG1307,7402,1734,14:01:00,23:06:00,27,0,1,0,1,0,1,1
EG1312,46,5596,23:57:00,14:21:00,27,1,0,1,1,0,0,0
EG1526,5810,7156,21:16:00,08:35:00,27,1,0,0,0,0,1,1
EG1536,698,167,22:31:00,23:28:00,27,0,1,0,0,0,1,0
EG1637,2556,12280,22:26:00,13:37:00,27,0,0,1,0,0,1,0
EG1643,4424,7427,08:04:00,11:09:00,27,1,1,0,1,0,0,0
EG1659,2295,11556,06:28:00,19:38:00,27,0,1,0,1,1,0,1
EG1734,7145,5481,04:02:00,14:44:00,27,1,1,1,1,1,1,0
EG1795,10514,1526,18:08:00,20:53:00,27,0,0,1,1,1,1,0
EG1834,1204,2164,09:48:00,10:40:00,27,0,1,1,0,1,1,1
EG1846,6529,11555,00:47:00,08:08:00,27,0,1,1,1,1,0,1
EG1853,9993,12563,12:28:00,17:51:00,27,1,1,0,0,0,0,1
EG2086,982,9423,22:03:00,00:35:00,27,0,0,1,0,1,0,1
EG2284,4734,9470,15:38:00,03:35:00,27,0,0,1,0,0,0,0
EG2459,10,8730,09:33:00,10:42:00,27,1,0,0,1,1,1,0
EG2587,1314,4120,19:26:00,15:25:00,27,0,0,1,0,0,1,1
EG2601,13187,5315,18:27:00,21:55:00,27,0,1,1,1,0,1,0
EG2604,9214,12186,12:10:00,18:24:00,27,0,0,1,0,1,1,0
EG2607,8691,7157,13:08:00,22:03:00,27,1,0,0,0,0,1,1
EG2747,10661,6954,00:34:00,10:10:00,27,1,0,1,0,0,0,0
EG2905,12073,4629,12:34:00,18:11:00,27,1,1,1,0,1,1,0
EG3012,10694,4258,08:31:00,23:29:00,27,1,1,0,0,1,1,1
EG3080,13392,3501,21:17:00,07:48:00,27,1,1,0,1,1,1,1
EG3138,5884,11691,15:12:00,05:17:00,27,1,1,0,1,0,0,1
EG3241,12289,9882,08:09:00,04:06:00,27,1,1,1,0,0,0,1
EG3591,3477,1142,16:16:00,04:49:00,27,0,1,1,0,1,1,0
EG3889,13262,197,03:01:00,15:46:00,27,0,1,0,1,1,0,1
EG3901,2594,3736,01:08:00,04:09:00,27,0,0,1,0,1,1,0
EG3947,1061,4473,20:19:00,03:12:00,27,1,1,1,1,1,0,0
EG3981,940,6872,17:05:00,02:12:00,27,1,1,1,0,1,0,1
EG4093,5859,9157,20:09:00,17:43:00,27,0,1,1,0,1,0,1
EG4104,8914,13553,09:03:00,10:03:00,27,0,0,1,1,0,1,1
EG4106,6918,6855,11:09:00,20:20:00,27,1,1,1,0,0,1,0
EG4208,4781,12999,08:25:00,22:01:00,27,1,0,0,1,1,1,1
EG4304,11111,2358,21:31:00,03:48:00,27,0,1,1,1,0,0,0
EG4371,1024,9621,14:51:00,15:54:00,27,0,1,0,0,1,0,0
EG4521,683,7813,02:01:00,08:16:00,27,0,1,1,0,0,1,1
EG4657,775,10721,14:21:00,20:21:00,27,1,0,0,0,0,1,0
EG4860,12558,13051,12:18:00,23:48:00,27,0,0,0,1,1,0,1
EG4877,6916,2736,07:15:00,11:50:00,27,0,1,0,1,1,1,1
EG5135,13299,7382,18:17:00,05:07:00,27,0,0,1,1,1,0,0
EG5205,10454,6956,23:44:00,09:12:00,27,1,1,0,0,0,0,1
EG5233,7627,10289,14:11:00,08:24:00,27,0,1,1,0,1,1,1
EG5250,7976,750,08:38:00,19:39:00,27,0,1,0,0,0,1,0
EG5285,3498,12847,02:24:00,19:30:00,27,1,1,1,1,1,0,1
EG5596,9708,10033,03:36:00,15:06:00,27,0,0,1,0,1,0,0
EG5794,4371,5700,22:34:00,00:28:00,27,1,1,1,0,0,1,0
EG5913,1594,5667,08:32:00,17:44:00,27,1,0,0,0,0,1,1
EG6085,10138,12027,00:34:00,03:20:00,27,1,0,0,1,0,0,0
EG6129,12165,6469,06:07:00,08:01:00,27,0,0,0,1,0,1,0
EG6388,12897,1611,15:18:00,18:13:00,27,0,1,0,0,1,0,1
EG6614,3633,5409,04:18:00,07:22:00,27,0,0,1,0,1,1,0
EG6623,7674,9751,18:14:00,02:50:00,27,1,0,1,1,0,0,1
EG6694,12230,5934,05:14:00,22:24:00,27,1,0,1,0,0,0,1
EG6809,12500,3178,14:44:00,06:48:00,27,1,0,0,1,1,0,1
EG6820,4218,1966,22:43:00,09:43:00,27,0,0,0,1,1,0,0
EG6927,9771,7337,19:39:00,23:07:00,27,0,0,1,1,1,1,0
EG7300,766,3080,01:31:00,12:21:00,27,1,0,0,0,0,1,1
EG7328,11531,5693,17:51:00,20:25:00,27,1,1,0,0,1,1,0
EG7386,7470,11042,01:55:00,11:29:00,27,0,0,1,1,1,0,1
EG7409,7708,13085,02:25:00,03:56:00,27,1,1,1,1,0,0,1
EG7424,13514,6396,05:05:00,12:12:00,27,0,0,0,1,0,1,1
EG7584,1566,5237,10:37:00,12:16:00,27,1,1,1,1,1,0,1
EG7703,11981,4093,10:04:00,01:04:00,27,0,0,0,1,0,1,1
EG7725,3982,10903,03:48:00,16:53:00,27,0,1,0,1,1,1,0
EG7750,4547,5118,11:24:00,00:40:00,27,0,0,0,1,1,1,0
EG7816,3078,8323,14:11:00,06:11:00,27,1,0,1,1,1,0,1
EG7820,3811,7571,07:30:00,18:45:00,27,1,1,0,0,1,0,1
EG7926,6858,163,10:36:00,16:20:00,27,0,0,0,1,0,0,0
EG8451,7098,5271,15:13:00,03:36:00,27,1,0,0,1,1,1,0
EG8534,8000,11544,07:39:00,01:05:00,27,0,0,0,1,1,1,0
EG8566,11446,9133,17:12:00,18:28:00,27,1,1,1,0,1,1,1
EG8608,8401,2479,12:52:00,03:43:00,27,1,1,0,1,1,0,1
EG8772,208,13444,12:14:00,15:04:00,27,1,0,0,0,0,1,1
EG8880,6842,3002,23:35:00,17:22:00,27,0,0,0,1,0,0,1
EG8968,9258,12949,19:14:00,07:44:00,27,0,1,0,0,1,1,0
EG8969,12139,12449,15:32:00,22:31:00,27,0,1,1,0,0,1,0
EG8999,11690,13269,04:52:00,06:48:00,27,0,0,1,0,0,1,1
EG9009,13056,333,03:32:00,20:12:00,27,1,1,0,0,0,0,0
EG9300,3785,7226,10:06:00,14:49:00,27,1,1,1,1,0,0,0
EG9557,1312,6818,05:26:00,23:37:00,27,0,1,1,1,1,1,0
EG9657,12011,9246,16:48:00,07:38:00,27,1,0,1,0,0,1,1
EG9749,5650,8657,11:58:00,15:14:00,27,1,1,1,0,1,0,0
EG9761,12119,12451,15:45:00,13:17:00,27,1,0,1,0,1,0,0
EG9835,8722,10904,05:35:00,12:50:00,27,1,1,0,0,1,0,1
EG9891,1552,5724,20:38:00,09:45:00,27,1,0,0,0,1,1,1
EG9922,4943,8509,05:07:00,12:22:00,27,1,1,1,0,0,1,0
EL1099,10708,12336,04:33:00,17:36:00,28,0,0,0,1,0,1,1
EL1111,12955,11239,04:18:00,16:01:00,28,1,1,1,1,1,1,0
EL1196,8787,13150,03:01:00,05:33:00,28,0,0,0,1,1,0,0
EL1203,1045,11816,14:47:00,11:26:00,28,0,1,0,0,0,0,0
EL1292,13239,9841,20:42:00,06:42:00,28,1,0,1,0,0,1,0
EL1459,355,11259,05:56:00,01:56:00,28,0,0,0,1,0,0,1
EL1465,9501,11435,14:53:00,20:50:00,28,1,1,0,1,1,1,1
EL1507,10288,12026,20:41:00,12:00:00,28,1,0,0,1,1,0,1
EL1589,1045,5823,08:44:00,15:05:00,28,1,1,1,1,0,1,1
EL1635,7445,4239,12:31:00,17:04:00,28,0,1,0,1,0,1,0
EL1702,6329,11795,17:20:00,03:56:00,28,0,1,0,1,0,0,1
EL1704,12208,7682,22:14:00,23:35:00,28,0,0,0,1,1,1,0
EL1731,11962,6270,10:06:00,12:11:00,28,1,0,1,0,1,0,1
EL1755,6011,6694,21:01:00,07:53:00,28,1,1,1,1,1,0,0
EL1767,2223,7725,15:50:00,02:17:00,28,1,0,1,0,0,1,1
EL1878,12033,367,14:22:00,07:27:00,28,0,0,1,1,1,1,1
EL1896,5148,2956,16:04:00,19:02:00,28,1,0,0,0,0,1,1
EL1924,10175,11951,23:32:00,09:00:00,28,1,1,1,1,0,1,0
EL1925,9555,2598,01:29:00,14:46:00,28,1,0,0,0,1,0,0
EL2238,2617,6820,17:38:00,07:55:00,28,1,1,1,1,1,1,1
EL2285,8690,8320,05:31:00,06:16:00,28,0,0,0,1,0,0,1
EL2424,7284,1219,19:19:00,10:38:00,28,1,1,1,1,1,0,1
EL2456,4568,1598,10:32:00,14:32:00,28,0,1,1,1,0,1,0
EL2581,8032,3635,18:34:00,20:01:00,28,1,0,1,1,1,1,1
EL2597,7145,4279,00:11:00,20:26:00,28,0,0,0,1,1,1,1
EL2699,11316,6006,11:14:00,20:19:00,28,0,0,0,1,1,0,1
EL2769,4924,11787,17:06:00,18:34:00,28,1,1,1,1,0,0,1
EL2897,3726,5999,13:24:00,01:46:00,28,1,1,0,0,1,1,1
EL2975,10033,13269,00:43:00,15:43:00,28,1,0,0,0,0,0,1
EL3177,8721,64,04:05:00,08:51:00,28,1,0,1,1,1,0,1
EL3310,2854,6107,00:00:00,05:18:00,28,0,0,1,0,0,1,0
EL3456,3760,10317,12:17:00,16:41:00,28,1,1,1,0,1,1,0
EL3491,11449,2397,19:31:00,23:10:00,28,0,0,1,1,1,0,0
EL3704,306,7489,21:01:00,03:18:00,28,1,1,1,0,0,1,1
EL3717,780,3727,08:33:00,19:01:00,28,0,0,0,1,0,0,1
EL3960,10081,7743,14:35:00,15:27:00,28,0,1,1,1,1,0,0
EL3998,10429,5968,14:04:00,22:07:00,28,0,1,1,1,0,0,1
EL4056,819,6666,08:45:00,19:50:00,28,0,1,0,1,1,0,1
EL4070,5571,922,05:20:00,16:53:00,28,0,0,1,0,0,1,0
EL4122,8077,8502,19:27:00,23:19:00,28,0,0,0,0,1,0,1
EL4348,11018,5090,21:18:00,23:42:00,28,0,0,0,1,1,0,1
EL4441,12854,4838,01:45:00,10:54:00,28,0,1,1,0,0,0,1
EL4666,312,8748,16:20:00,04:46:00,28,0,0,1,1,0,0,1
EL4882,6900,5592,02:51:00,14:51:00,28,1,1,0,1,1,0,0
EL4948,7276,10535,20:38:00,23:08:00,28,0,0,1,0,1,1,1
EL4980,13056,1464,19:39:00,01:56:00,28,0,0,0,0,0,1,0
EL5093,12906,6174,12:12:00,21:07:00,28,0,1,1,1,0,1,0
EL5194,10373,9160,11:20:00,23:23:00,28,1,0,1,1,0,1,1
EL5196,9757,6653,04:33:00,13:33:00,28,1,0,0,1,1,1,0
EL5250,2700,2781,04:36:00,16:09:00,28,0,0,1,1,1,0,0
EL5388,3702,842,06:35:00,01:17:00,28,0,1,0,0,1,1,0
EL5515,11732,1891,19:18:00,02:51:00,28,0,0,1,0,1,1,1
EL5522,11277,878,09:14:00,23:01:00,28,1,1,0,1,0,1,0
EL5644,8090,13554,00:39:00,02:24:00,28,1,1,0,0,1,0,1
EL5680,1750,8303,20:04:00,02:41:00,28,0,0,0,0,1,1,0
EL5695,9457,3279,02:00:00,04:29:00,28,1,1,1,0,1,0,0
EL5939,9158,7888,09:53:00,19:52:00,28,0,1,1,0,1,1,1
EL5946,9634,9877,16:02:00,02:41:00,28,1,0,1,1,1,1,1
EL5979,7861,2305,19:01:00,06:38:00,28,1,1,1,1,1,1,1
EL6042,649,12834,19:16:00,07:13:00,28,1,1,1,1,1,0,1
EL6063,9737,1616,09:11:00,19:22:00,28,0,0,0,1,0,1,1
EL6088,4283,6972,13:01:00,01:34:00,28,1,0,0,1,0,1,0
EL6211,6970,7290,21:37:00,10:47:00,28,0,0,1,1,1,0,0
EL6230,1229,12027,08:06:00,18:13:00,28,1,0,0,0,0,1,0
EL6360,1109,4696,19:20:00,07:17:00,28,1,1,0,0,1,0,0
EL6446,10348,12484,04:30:00,20:01:00,28,1,1,0,0,0,1,0
EL6668,999,13518,14:37:00,22:43:00,28,0,1,1,1,1,1,1
EL6703,7458,12266,04:07:00,16:39:00,28,0,0,1,1,0,0,0
EL6868,4594,2946,18:01:00,19:14:00,28,1,0,1,0,1,1,1
